"Title","SKU","Color","Size","Price","Images"
Tshirt Long 1,TSH1-BLK-SM,Black,Small,24.00,"mens-shirt-1v1.jpg, mens-shirt-1v2.jpg, mens-shirt-1v3.jpg", "field_category_color|#000000"
Tshirt Long 1,TSH1-BLK-MD,Black,Medium,24.00,"mens-shirt-1v1.jpg, mens-shirt-1v2.jpg, mens-shirt-1v3.jpg", "field_category_color|#000000"
Tshirt Long 1,TSH1-BLK-LG,Black,Large,24.00,"mens-shirt-1v1.jpg, mens-shirt-1v2.jpg, mens-shirt-1v3.jpg", "field_category_color|#000000"
Tshirt 2,TSH2-BLU-SM,Blue,Small,16.00,"mens-shirt-2v1b.jpg, mens-shirt-2v2b.jpg, mens-shirt-2v3b.jpg", "field_category_color|#0000FF"
Tshirt 2,TSH2-BLU-MD,Blue,Medium,16.00,"mens-shirt-2v1b.jpg, mens-shirt-2v2b.jpg, mens-shirt-2v3b.jpg", "field_category_color|#0000FF"
Tshirt 2,TSH2-BLU-LG,Blue,Large,16.00,"mens-shirt-2v1b.jpg, mens-shirt-2v2b.jpg, mens-shirt-2v3b.jpg", "field_category_color|#0000FF"
Tshirt 2,TSH2-GRN-SM,Green,Small,16.00,"mens-shirt-2v1.jpg, mens-shirt-2v2.jpg, mens-shirt-2v3.jpg", "field_category_color|#00FF00"
Tshirt 2,TSH2-GRN-MD,Green,Medium,16.00,"mens-shirt-2v1.jpg, mens-shirt-2v2.jpg, mens-shirt-2v3.jpg", "field_category_color|#00FF00"
Tshirt 2,TSH2-GRN-LG,Green,Large,16.00,"mens-shirt-2v1.jpg, mens-shirt-2v2.jpg, mens-shirt-2v3.jpg", "field_category_color|#00FF00"
Tshirt 2,TSH2-PRL-SM,Purple,Small,16.00,"mens-shirt-2v1p.jpg, mens-shirt-2v2p.jpg, mens-shirt-2v3p.jpg", "field_category_color|#551A8B"
Tshirt 2,TSH2-PRL-MD,Purple,Medium,16.00,"mens-shirt-2v1p.jpg, mens-shirt-2v2p.jpg, mens-shirt-2v3p.jpg", "field_category_color|#551A8B"
Tshirt 2,TSH2-PRL-LG,Purple,Large,16.00,"mens-shirt-2v1p.jpg, mens-shirt-2v2p.jpg, mens-shirt-2v3p.jpg", "field_category_color|#551A8B"
Tshirt 3,TSH3-CRM-SM,Cream,Small,38.00,"mens-shirt_3v1cr.jpg, mens-shirt_3v2cr.jpg, mens-shirt_3v3cr.jpg", "field_category_color|#F5FFFA"
Tshirt 3,TSH3-CRM-MD,Cream,Medium,38.00,"mens-shirt_3v1cr.jpg, mens-shirt_3v2cr.jpg, mens-shirt_3v3cr.jpg", "field_category_color|#F5FFFA"
Tshirt 3,TSH3-CRM-LG,Cream,Large,38.00,"mens-shirt_3v1cr.jpg, mens-shirt_3v2cr.jpg, mens-shirt_3v3cr.jpg", "field_category_color|#F5FFFA"
Tshirt 3,TSH3-HGY-SM,Gray,Small,38.00,"mens-shirt_3v1.jpg, mens-shirt_3v2.jpg, mens-shirt_3v3.jpg", "field_category_color|#777777"
Tshirt 3,TSH3-HGY-MD,Gray,Medium,38.00,"mens-shirt_3v1.jpg, mens-shirt_3v2.jpg, mens-shirt_3v3.jpg", "field_category_color|#777777"
Tshirt 3,TSH3-HGY-LG,Gray,Large,38.00,"mens-shirt_3v1.jpg, mens-shirt_3v2.jpg, mens-shirt_3v3.jpg", "field_category_color|#777777"
Tshirt 3,TSH3-LTB-SM,Light Blue,Small,38.00,"mens-shirt_3v1b.jpg, mens-shirt_3v2b.jpg, mens-shirt_3v3b.jpg", "field_category_color|#68838B"
Tshirt 3,TSH3-LTB-MD,Light Blue,Medium,38.00,"mens-shirt_3v1b.jpg, mens-shirt_3v2b.jpg, mens-shirt_3v3b.jpg", "field_category_color|#68838B"
Tshirt 3,TSH3-LTB-LG,Light Blue,Large,38.00,"mens-shirt_3v1b.jpg, mens-shirt_3v2b.jpg, mens-shirt_3v3b.jpg", "field_category_color|#68838B"
Tshirt 4,TSH4-BLK-SM,Black,Small,32.00,"mens-4v1.jpg, mens-4v2.jpg, mens-4v3.jpg", "field_category_color|#000000"
